wl,log_gf,species,E_lower,gamma_rad,gamma_stark,vdW
4.98008088553471e-5,-0.953000009059906,Fe I,4.076000213623047,4.89778883899247e7,1.949844428490234e-5,3.162277660168379e-8
4.981555577314351e-5,0.07000000029802322,Ni I,3.6059999465942383,1.0964780998322171e8,1.4454392628956644e-5,"(2.3550398577336473e-14, 0.2820000000000391)"
4.9831204930710054e-5,0.5699999928474426,Ti I,0.8479999899864197,8.912505467113453e7,8.912505467113453e-7,"(9.016918361358318e-15, 0.24500000000000455)"
4.983889597404408e-5,0.15600000321865082,Fe I,4.103000164031982,2.951211041237279e8,1.995263191254866e-5,3.0199517204020194e-8
4.984204281009158e-5,-0.9160000085830688,Na I,2.1040000915527344,3.257993257563704e7,0.0001393300549140245,0.0
4.9846407969826836e-5,-0.12200000137090683,Fe I,4.1539998054504395,2.951211041237279e8,2.6915337400578165e-5,3.090295432513592e-8
4.9852431570186045e-5,-0.006000000052154064,Fe I,4.103000164031982,2.951211041237279e8,1.995263191254866e-5,3.0199517204020194e-8
4.9855069270977866e-5,0.3100000023841858,Ni I,3.7960000038146973,1.949844428490234e8,2.6302684539632834e-6,3.090295432513592e-8
4.986643729129015e-5,-0.44699999690055847,Fe I,3.928999900817871,1.5488151224416983e8,2.6915337400578163e-6,"(2.07781162239996e-14, 0.2400000000000091)"
4.9869377072352285e-5,-1.3309999704360962,Fe I,2.865000009536743,1.513562312005786e8,3.890452816839944e-6,"(2.0358073443190984e-14, 0.2380000000000564)"
4.987613786861919e-5,-1.2899999618530273,Fe I,4.2179999351501465,2.951211041237279e8,1.8620870548831208e-5,"(2.6602709451212427e-14, 0.27899999999999636)"
4.990031829319843e-5,-0.028999999165534973,Nd I,0.2930000126361847,2.505735504814822e8,5.534421337962145e-6,0.0
4.990341711654829e-5,-0.8899999856948853,Fe I,4.1539998054504395,2.951211041237279e8,2.6302684539632837e-5,"(2.4194464174576354e-14, 0.27800000000002)"
4.990521959546391e-5,-0.1599999964237213,Ti I,1.9809999465942383,9.120109194638906e7,4.89778883899247e-6,"(2.2066247418479358e-14, 0.23099999999999454)"
4.992458474081321e-5,0.44999998807907104,Ti I,0.8360000252723694,8.70963704709875e7,8.912505467113453e-7,"(8.960912657250501e-15, 0.24500000000000455)"
4.9926605277679604e-5,-0.6700000166893005,Fe I,4.190999984741211,2.884031756450285e8,2.0417376756604133e-5,"(2.551059822111002e-14, 0.27800000000002)"
4.993233680057967e-5,-0.9890000224113464,Ca I,4.769000053405762,2.3442281975923815e8,0.00018197008186508767,7.244359600749906e-8
4.9932590868087154e-5,-1.809999942779541,Fe I,4.21999979019165,2.3988335511359206e8,2.0417376756604133e-5,"(2.6602709451212427e-14, 0.27899999999999636)"
4.9946960686279374e-5,0.3315720856189728,HMg,0.7440000176429749,5.737144794327242e8,0.0,0.0
4.995073068801377e-5,-1.3700000047683716,Fe I,4.209000110626221,1.0232935315766703e8,3.1622776601683795e-5,"(2.5986646706026458e-14, 0.27899999999999636)"
4.9951551906221804e-5,0.34357210993766785,HMg,0.7440000176429749,5.896794544495568e8,0.0,0.0
4.9955227882977725e-5,-3.058000087738037,Fe I,0.9150000214576721,1.737799912893992e7,7.079456289251887e-7,"(6.888701605261323e-15, 0.24500000000000455)"
4.996018419994359e-5,0.5419999957084656,Ce I,0.9649999737739563,9.308801968192089e8,9.545655907074916e-6,0.0
4.996165459064934e-5,0.12157212197780609,HMg,0.824999988079071,3.535414626920365e8,0.0,0.0
4.996239478733138e-5,0.23057211935520172,HMg,0.7799999713897705,4.5438865908664876e8,0.0,0.0
4.996458837020228e-5,-1.0,Ti I,2.25,3.090293803866819e8,1.5848924964027186e-6,2.3442288153199228e-8
4.996560664077395e-5,-0.6710000038146973,Ca I,4.763000011444092,2.4547108562064812e8,0.00014791086480080837,7.079457843841373e-8
4.9966485874401424e-5,0.24357210099697113,HMg,0.781000018119812,4.681190823839481e8,0.0,0.0
4.9966785954137814e-5,0.13557212054729462,HMg,0.824999988079071,3.65048987482561e8,0.0,0.0
4.996801528079149e-5,-1.7899999618530273,Fe I,4.260000228881836,1.0232935315766703e8,1.5135606501786491e-5,"(2.775082638542265e-14, 0.2799999999999727)"
4.997043992506343e-5,-1.1239999532699585,Ni I,3.634999990463257,1.819701817628807e8,0.00025118869830988676,"(2.3298372908851305e-14, 0.27800000000002)"
4.9972649512192337e-5,-2.4079999923706055,Fe I,4.230999946594238,3.019948537254365e8,1.9054616384945496e-5,3.0199517204020194e-8
4.9977238731639125e-5,-0.07814371585845947,OV,0.5680000185966492,2.2307639974543053e8,0.0,0.0
4.997727874227077e-5,-0.08514371514320374,OV,0.5680000185966492,2.195093036758588e8,0.0,0.0
4.99773087502445e-5,-0.09114371985197067,OV,0.5680000185966492,2.164972607893663e8,0.0,0.0
4.9977348760876156e-5,-0.09714371711015701,OV,0.5690000057220459,2.1352646647150606e8,0.0,0.0
4.9979293277574864e-5,-2.490999937057495,Fe I,4.185999870300293,1.513560650178649e7,8.511377017774278e-6,2.0417379446695274e-8
4.997974939877597e-5,-0.22014370560646057,OV,0.5120000243186951,1.6084590309940183e8,0.0,0.0
4.9979769404091807e-5,-0.22914370894432068,OV,0.5120000243186951,1.5754682394695735e8,0.0,0.0
4.9979789409407644e-5,-0.2381437122821808,OV,0.5120000243186951,1.5431541156781772e8,0.0,0.0
4.9979809414723496e-5,-0.2471437156200409,OV,0.5120000243186951,1.5115027806190497e8,0.0,0.0
4.9981631898996956e-5,-1.781000018119812,Fe I,4.6519999504089355,1.4791086480080837e8,2.5703948796691974e-5,4.78630092322638e-8
4.9982384098873025e-5,-0.8960000276565552,Ni I,3.634999990463257,1.7782794100389227e8,2.8840317564502843e-5,"(2.3270370056797396e-14, 0.27800000000002)"
4.9983090286522805e-5,-0.11914371699094772,OV,0.6190000176429749,2.029326531332947e8,0.0,0.0
4.9983200315760025e-5,-0.11314371973276138,OV,0.6190000176429749,2.0575482038141638e8,0.0,0.0
4.9983340352971046e-5,-0.10614372044801712,OV,0.6190000176429749,2.0909689527093843e8,0.0,0.0
4.998347038752415e-5,-0.10014371573925018,OV,0.6190000176429749,2.1200462205000567e8,0.0,0.0
4.9984280602816646e-5,-0.05214371532201767,OV,0.8090000152587891,2.367724948870489e8,0.0,0.0
4.9984907769469126e-5,-2.069999933242798,Ti I,0.0,7.943284091521297e6,7.762468779884148e-7,"(7.224735829908217e-15, 0.24200000000001864)"
4.998614109719278e-5,-0.005143715534359217,OV,0.7210000157356262,2.6381465706125516e8,0.0,0.0
4.99864011662992e-5,-0.00014371545694302768,OV,0.7210000157356262,2.668667099349613e8,0.0,0.0
4.9986661235405656e-5,0.004856284707784653,OV,0.7200000286102295,2.699540718586684e8,0.0,0.0
4.9986931307170046e-5,0.009856284596025944,OV,0.7200000286102295,2.73077041804644e8,0.0,0.0
4.998937995783503e-5,0.026000000536441803,Ti I,3.2149999141693115,1.0e8,5.370318199557904e-6,2.8840315031266057e-8
4.99911344240397e-5,-0.8830000162124634,Ti I,3.1040000915527344,4.7862990313698694e7,1.9054616384945496e-5,3.8018939632056126e-8
4.999356607018928e-5,-1.5670000314712524,Fe I,4.60699987411499,2.0892946627203616e8,4.365156980428764e-5,4.8977881936844667e-8
4.999362308533965e-5,0.4013287425041199,OZr,1.0190000534057617,6.72421168130881e8,0.0,0.0
4.999402119112656e-5,-0.6480000019073486,Mn I,4.425000190734863,5.0118701351428103e8,3.235938274699711e-5,6.025595860743581e-8
4.9995155492539754e-5,-0.5049999952316284,Mn I,4.425000190734863,5.0118701351428103e8,3.8904528168399443e-5,6.025595860743581e-8
4.999518349998206e-5,-0.6029999852180481,Ce I,0.27399998903274536,6.6571070213908084e7,5.38709293313387e-6,0.0
4.9995693635538396e-5,0.7863287329673767,OZr,1.340999960899353,1.6315688090627112e9,0.0,0.0
4.999612374983104e-5,-0.6899999976158142,Ni I,3.6059999465942383,1.3489632380568445e8,3.467368199963294e-6,"(1.9966033514436275e-14, 0.2380000000000564)"
4.999632380299045e-5,0.037328749895095825,OZr,0.9309999942779541,2.908000408389339e8,0.0,0.0
4.99969239624687e-5,-0.21114371716976166,OV,0.5180000066757202,1.6410112922794044e8,0.0,0.0
4.999695397044261e-5,-0.22014370560646057,OV,0.5189999938011169,1.607352240072203e8,0.0,0.0
4.999695397044261e-5,0.4283287525177002,OZr,1.152999997138977,7.154569683380002e8,0.0,0.0
4.9996963973100576e-5,-0.22914370894432068,OV,0.5189999938011169,1.574384780114958e8,0.0,0.0
4.9996993981074505e-5,-0.2381437122821808,OV,0.5189999938011169,1.5420922623348618e8,0.0,0.0
4.9997554129920974e-5,-0.029143717139959335,OV,1.281000018119812,2.4951727675771877e8,0.0,0.0
4.999770416979059e-5,-0.02414371632039547,OV,1.281000018119812,2.524050362181822e8,0.0,0.0
4.9997804196370333e-5,-0.12814371287822723,OV,0.6340000033378601,1.9865352776526058e8,0.0,0.0
4.9997844207002226e-5,-0.13314370810985565,OV,0.6349999904632568,1.9637924748879176e8,0.0,0.0
4.99978542096602e-5,-0.020143715664744377,OV,1.2799999713897705,2.5473898273542354e8,0.0,0.0
4.999787421497615e-5,-0.139143705368042,OV,0.6349999904632568,1.9368459193129098e8,0.0,0.0
4.999791422560805e-5,-0.1441437155008316,OV,0.6349999904632568,1.9146719183171442e8,0.0,0.0
4.999792422826602e-5,0.4713287353515625,OZr,1.3619999885559082,7.898900529338393e8,0.0,0.0
4.999793022986081e-5,-0.6880000233650208,Mn I,4.425000190734863,5.0118701351428103e8,4.5708802901852083e-5,6.025595860743581e-8
4.999802425484577e-5,-0.016143716871738434,OV,1.2790000438690186,2.5709430402347225e8,0.0,0.0
4.999806426547767e-5,0.18099312484264374,OZr,1.128999948501587,4.0478890614835835e8,0.0,0.0
4.9998074268135646e-5,0.21399317681789398,OZr,1.3339999914169312,4.367455410009398e8,0.0,0.0
4.9998594406350405e-5,0.36820748448371887,OZr,1.5440000295639038,6.229221176644114e8,0.0,0.0
4.999860440900839e-5,0.13232874870300293,OZr,1.1959999799728394,3.618718842662126e8,0.0,0.0
4.999872444090411e-5,0.6493287682533264,OZr,1.1230000257492065,1.1900159329003663e9,0.0,0.0
4.999878445685198e-5,-0.07279249280691147,OZr,1.0260000228881836,2.256474720539956e8,0.0,0.0
4.999890448874771e-5,-0.6326712369918823,OZr,0.6660000085830688,6.216553034571084e7,0.0,0.0
4.999891449140569e-5,0.7143287062644958,OZr,1.6009999513626099,1.3821316511550255e9,0.0,0.0
4.9999074533933326e-5,-0.4357925057411194,OZr,0.9359999895095825,9.781949586410715e7,0.0,0.0
4.9999154555197145e-5,-3.042160749435425,HSi,1.2890000343322754,242134.00551104246,0.0,0.0
4.9999304595066834e-5,-2.2284278869628906,HMg,0.6589999794960022,1.5768342421011596e6,0.0,0.0
4.999935460835674e-5,-1.100000023841858,Nd II,0.47099998593330383,2.1194005206290394e7,2.9527786182017934e-6,0.0
4.999935460835674e-5,-0.22214370965957642,OV,1.4919999837875366,1.5998134764648256e8,0.0,0.0
4.999936461101472e-5,0.7963287234306335,OZr,1.2309999465942383,1.6693277395140712e9,0.0,0.0
4.9999404621646627e-5,-0.34567123651504517,OZr,1.1339999437332153,1.2037629026346499e8,0.0,0.0
4.9999444632278546e-5,-1.7976711988449097,OZr,0.5239999890327454,4.251481540810983e6,0.0,0.0
4.99994646375945e-5,-2.693006992340088,OZr,0.4020000100135803,541008.5849895834,0.0,0.0
4.999947464025248e-5,-0.2211437076330185,OV,1.4919999837875366,1.6034937359664282e8,0.0,0.0
4.999952465354238e-5,-0.8707925081253052,OZr,1.4789999723434448,3.5926722409523845e7,0.0,0.0
4.999952465354238e-5,-2.189006805419922,OZr,0.5730000138282776,1.7266459769794247e6,0.0,0.0
4.999953465620036e-5,-1.9574278593063354,HMg,1.2239999771118164,2.9429445099583627e6,0.0,0.0
4.999953465620036e-5,-1.3050637245178223,OZr,0.6610000133514404,1.3217405323254362e7,0.0,0.0
4.999953465620036e-5,-0.33879250288009644,OZr,1.4220000505447388,1.2229745791776104e8,0.0,0.0
4.999953465620036e-5,-2.8480067253112793,OZr,0.5220000147819519,378619.70034182066,0.0,0.0
4.999954465885835e-5,-2.9327924251556396,OZr,0.4009999930858612,311470.79675965937,0.0,0.0
4.999955466151632e-5,-2.379006862640381,OZr,0.6209999918937683,1.1148147920534057e6,0.0,0.0
4.999957466683229e-5,-2.2036712169647217,OZr,1.0980000495910645,1.6693139424486803e6,0.0,0.0
4.999957466683229e-5,-3.432671070098877,OZr,0.6050000190734863,98523.12251558066,0.0,0.0
4.999957466683229e-5,-3.0647926330566406,OZr,0.5960000157356262,229835.2325879281,0.0,0.0
4.999957466683229e-5,-0.9510068297386169,OZr,0.921999990940094,2.9867743151084185e7,0.0,0.0
4.9999594672148235e-5,-2.296792507171631,OZr,0.5090000033378601,1.347151326167343e6,0.0,0.0
4.9999594672148235e-5,-0.841006875038147,OZr,1.024999976158142,3.847707192096881e7,0.0,0.0
4.999960467480622e-5,-2.560006856918335,OZr,0.46399998664855957,734855.3485207633,0.0,0.0
4.9999614677464195e-5,-0.22014370560646057,OV,1.4919999837875366,1.6071811755698964e8,0.0,0.0
4.9999614677464195e-5,-2.009063720703125,OZr,0.9909999966621399,2.6130325634534904e6,0.0,0.0
4.999963468278016e-5,-3.7941436767578125,OV,1.1460000276565552,42861.218984005165,0.0,0.0
4.999963468278016e-5,-3.048792600631714,OZr,0.46700000762939453,238460.03010845752,0.0,0.0
4.9999644685438145e-5,-2.0840067863464355,OZr,0.8809999823570251,2.1988785105445553e6,0.0,0.0
4.9999644685438145e-5,-3.072006940841675,OZr,0.39899998903274536,226048.21422993453,0.0,0.0
4.999967469341209e-5,-2.2820637226104736,OZr,0.7509999871253967,1.3936180974144305e6,0.0,0.0
4.999967469341209e-5,-2.5860068798065186,OZr,0.40299999713897705,692150.632689476,0.0,0.0
4.999967469341209e-5,-3.868898630142212,OZr,0.5659999847412109,36083.51774719977,0.0,0.0
4.9999684696070064e-5,-2.7686712741851807,OZr,0.8220000267028809,454502.26522583957,0.0,0.0
4.9999684696070064e-5,-1.6477924585342407,OZr,1.6119999885559082,6.003643113740699e6,0.0,0.0
4.9999684696070064e-5,-0.5030068755149841,OZr,1.9509999752044678,8.37915937091962e7,0.0,0.0
4.9999684696070064e-5,-3.000898599624634,OZr,1.1820000410079956,266261.7160123098,0.0,0.0
4.999970470138602e-5,-4.236898899078369,OZr,0.699999988079071,15463.510004258593,0.0,0.0
4.999971470404401e-5,-3.154792547225952,OZr,0.847000002861023,186816.08119977504,0.0,0.0
4.999972470670199e-5,-1.3917925357818604,OZr,1.5410000085830688,1.0824655794318628e7,0.0,0.0
4.999972470670199e-5,-0.16400684416294098,OZr,2.436000108718872,1.828941384429784e8,0.0,0.0
4.999972470670199e-5,-2.564898729324341,OZr,1.11899995803833,726620.9274978348,0.0,0.0
4.9999744712017944e-5,-0.21914370357990265,OV,1.4919999837875366,1.6108777394646308e8,0.0,0.0
4.9999744712017944e-5,-2.872006893157959,OZr,0.9520000219345093,358260.88180066727,0.0,0.0
4.9999744712017944e-5,-4.0850067138671875,OZr,0.4749999940395355,21938.128187795257,0.0,0.0
4.999975471467592e-5,-1.5800068378448486,OZr,1.9589999914169312,7.017772286344144e6,0.0,0.0
4.999976471733391e-5,-1.0840637683868408,OZr,1.6729999780654907,2.1985794673496157e7,0.0,0.0
4.999977471999189e-5,-2.58779239654541,OZr,1.3459999561309814,689308.0745235148,0.0,0.0
4.999977471999189e-5,-3.536792516708374,OZr,0.6370000243186951,77519.90747183756,0.0,0.0
4.9999784722649864e-5,-0.8946712613105774,OZr,1.187000036239624,3.4004338229078524e7,0.0,0.0
4.9999784722649864e-5,-2.4756712913513184,OZr,1.475000023841858,892348.0876377083,0.0,0.0
4.9999784722649864e-5,-1.8257925510406494,OZr,1.034000039100647,3.984859721325422e6,0.0,0.0
4.999979472530784e-5,-0.7066712379455566,OZr,2.200000047683716,5.242448549499573e7,0.0,0.0
4.999979472530784e-5,-1.7770637273788452,OZr,1.274999976158142,4.458016663316453e6,0.0,0.0
4.999979472530784e-5,-2.396792411804199,OZr,0.746999979019165,1.0700720068637019e6,0.0,0.0
4.999979472530784e-5,-2.3858985900878906,OZr,1.4910000562667847,1.0972531208548243e6,0.0,0.0
4.9999807728763215e-5,-3.8299999237060547,Cr I,3.013000011444092,1.14815347022194e6,7.762468779884148e-7,1.6218100973589297e-8
4.9999814730623814e-5,-3.1387925148010254,OZr,0.8980000019073486,193826.23173167687,0.0,0.0
4.9999814730623814e-5,0.3269931972026825,OZr,1.2369999885559082,5.664978481373866e8,0.0,0.0
4.9999814730623814e-5,-3.7698986530303955,OZr,1.0789999961853027,45321.72322632295,0.0,0.0
4.999983473593976e-5,-3.433671236038208,OZr,0.9139999747276306,98295.46550781858,0.0,0.0
4.999984473859775e-5,-3.7971436977386475,OV,1.1460000276565552,42565.80472036059,0.0,0.0
4.999984473859775e-5,-1.7630637884140015,OZr,1.6759999990463257,4.604057698459765e6,0.0,0.0
4.999984473859775e-5,-1.7477924823760986,OZr,1.1319999694824219,4.768832445770311e6,0.0,0.0
4.999984473859775e-5,-1.8057925701141357,OZr,1.309999942779541,4.172650173850394e6,0.0,0.0
4.999984473859775e-5,-2.5607924461364746,OZr,0.47099998593330383,733520.2367373876,0.0,0.0
4.999984473859775e-5,-2.8898985385894775,OZr,0.871999979019165,343800.1069350865,0.0,0.0
4.999985474125574e-5,-1.9580637216567993,OZr,0.9259999990463257,2.938601193189383e6,0.0,0.0
4.999986474391372e-5,-2.7814278602600098,HMg,1.0570000410079956,441343.0970109691,0.0,0.0
4.999986474391372e-5,-2.3857924938201904,OZr,1.7890000343322754,1.0975181339195257e6,0.0,0.0
4.9999874746571686e-5,-2.35579252243042,OZr,0.4129999876022339,1.176011320339539e6,0.0,0.0
4.9999874746571686e-5,-3.6380069255828857,OZr,0.7319999933242798,61404.06166310824,0.0,0.0
4.9999874746571686e-5,-2.1888985633850098,OZr,1.2990000247955322,1.7270521883337754e6,0.0,0.0
4.9999884749229676e-5,-1.7027925252914429,OZr,1.527999997138977,5.28945985895434e6,0.0,0.0
4.9999884749229676e-5,-2.186898708343506,OZr,1.6779999732971191,1.7350226257247236e6,0.0,0.0
4.999990475454562e-5,-2.9084279537200928,HMg,1.0570000410079956,329439.4086564837,0.0,0.0
4.999990475454562e-5,-4.347427845001221,HMg,1.0570000410079956,11988.798431503938,0.0,0.0
4.999990475454562e-5,0.1573287546634674,OZr,1.840000033378601,3.83294209294375e8,0.0,0.0
4.999990475454562e-5,-1.5016711950302124,OZr,0.9179999828338623,8.40489531189702e6,0.0,0.0
4.999990475454562e-5,-1.6270068883895874,OZr,1.434999942779541,6.297912392276341e6,0.0,0.0
4.999991475720361e-5,0.12332874536514282,OZr,1.246999979019165,3.5443130601667136e8,0.0,0.0
4.999991475720361e-5,-2.108671188354492,OZr,0.984000027179718,2.0774574686028173e6,0.0,0.0
4.999991475720361e-5,-0.20606376230716705,OZr,2.0880000591278076,1.6601203275092733e8,0.0,0.0
4.999991475720361e-5,-0.8720068335533142,OZr,1.4700000286102295,3.5825849414822996e7,0.0,0.0
4.999991475720361e-5,-1.4250068664550781,OZr,1.4490000009536743,1.0027587567531172e7,0.0,0.0
4.999991475720361e-5,-1.43800687789917,OZr,1.3350000381469727,9.731873425271405e6,0.0,0.0
4.9999924759861596e-5,-2.0776712894439697,OZr,0.4779999852180481,2.231165913821135e6,0.0,0.0
4.9999924759861596e-5,-2.260063886642456,OZr,1.968000054359436,1.4660178872253655e6,0.0,0.0
4.9999924759861596e-5,-2.714063882827759,OZr,1.628000020980835,515393.89878236176,0.0,0.0
4.9999924759861596e-5,-3.2467925548553467,OZr,0.828000009059906,151150.85252942378,0.0,0.0
4.9999924759861596e-5,-3.484006881713867,OZr,1.0010000467300415,87537.930304434,0.0,0.0
4.999993476251958e-5,-0.21414370834827423,OV,1.6519999504089355,1.6295184189569744e8,0.0,0.0
4.999993476251958e-5,-0.6886712312698364,OZr,1.7489999532699585,5.464264971649241e7,0.0,0.0
4.999993476251958e-5,-1.2656712532043457,OZr,1.222000002861023,1.447210580386749e7,0.0,0.0
4.999993476251958e-5,0.7403287291526794,OZr,2.193000078201294,1.4673432254026985e9,0.0,0.0
4.999993476251958e-5,-1.5750638246536255,OZr,2.2720000743865967,7.098051686943148e6,0.0,0.0
4.999993476251958e-5,-0.9507924914360046,OZr,0.9340000152587891,2.9882057060381886e7,0.0,0.0
4.999993476251958e-5,-3.755006790161133,OZr,1.034000039100647,46902.52158415407,0.0,0.0
4.999993476251958e-5,-2.9418985843658447,OZr,0.7310000061988831,305003.2013503134,0.0,0.0
4.999994476517756e-5,-2.361671209335327,OZr,1.5750000476837158,1.1601966283899478e6,0.0,0.0
4.999994476517756e-5,-1.830063819885254,OZr,2.0820000171661377,3.945835615664724e6,0.0,0.0
4.999994476517756e-5,-0.372792512178421,OZr,1.7569999694824219,1.1308637845816664e8,0.0,0.0
4.999995476783553e-5,-2.011671304702759,OZr,1.5889999866485596,2.597355107295127e6,0.0,0.0
4.999995476783553e-5,-0.8950637578964233,OZr,1.3669999837875366,3.397338937854219e7,0.0,0.0
4.999995476783553e-5,-1.6457924842834473,OZr,1.4179999828338623,6.031289157839344e6,0.0,0.0
4.999995476783553e-5,-0.8910068273544312,OZr,1.8890000581741333,3.429223626616269e7,0.0,0.0
4.999995476783553e-5,-1.894898533821106,OZr,1.9229999780654907,3.398631675839362e6,0.0,0.0
4.999995476783553e-5,-3.3908987045288086,OZr,0.9860000014305115,108468.57385421517,0.0,0.0
4.9999964770493516e-5,-3.7991435527801514,OV,1.1449999809265137,42370.04332374106,0.0,0.0
4.9999964770493516e-5,-1.994006872177124,OZr,2.0269999504089355,2.7051763918774333e6,0.0,0.0
4.9999964770493516e-5,-2.2090067863464355,OZr,1.350000023841858,1.648905150269482e6,0.0,0.0
4.9999964770493516e-5,-3.427006721496582,OZr,1.1039999723434448,99814.98350963855,0.0,0.0
4.9999964770493516e-5,-2.1508986949920654,OZr,2.0169999599456787,1.8849670625755026e6,0.0,0.0
4.99999747731515e-5,-2.1887924671173096,OZr,0.5820000171661377,1.7274672395401155e6,0.0,0.0
4.99999747731515e-5,-1.026006817817688,OZr,1.7979999780654907,2.513017247437381e7,0.0,0.0
4.99999747731515e-5,-1.5660068988800049,OZr,2.190000057220459,7.2476195567207085e6,0.0,0.0
4.99999747731515e-5,-4.004898548126221,OZr,0.40299999713897705,26381.758408509904,0.0,0.0
4.999998477580948e-5,-3.43467116355896,OZr,0.925000011920929,98068.82000523714,0.0,0.0
